+-----+-------------------------+------------+--------+
| PID |          Name           |   Status   |Priority|
+-----+-------------------------+------------+--------+
|  0  |    [System Process]     |  Unknown   |   0    |
|  4  |         System          |  Unknown   |   0    |
| 236 |      Secure System      |  Unknown   |   0    |
| 280 |        Registry         |  Unknown   |   0    |
| 748 |        smss.exe         |  Unknown   |   0    |
|1160 |        csrss.exe        |  Unknown   |   0    |
|1272 |       wininit.exe       |  Unknown   |   0    |
|1344 |      services.exe       |  Unknown   |   0    |
|1364 |       LsaIso.exe        |  Unknown   |   0    |
|1372 |        lsass.exe        |  Unknown   |   0    |
|1512 |       svchost.exe       |  Unknown   |   0    |
|1544 |      WUDFHost.exe       |  Unknown   |   0    |
|1552 |     fontdrvhost.exe     |  Unknown   |   0    |
|1656 |       svchost.exe       |  Unknown   |   0    |
|1708 |       svchost.exe       |  Unknown   |   0    |
|1740 |      WUDFHost.exe       |  Unknown   |   0    |
|1924 |      WUDFHost.exe       |  Unknown   |   0    |
|1424 |       svchost.exe       |  Unknown   |   0    |
|1528 |       svchost.exe       |  Unknown   |   0    |
|2132 |       svchost.exe       |  Unknown   |   0    |
|2160 |       svchost.exe       |  Unknown   |   0    |
|2228 |       svchost.exe       |  Unknown   |   0    |
|2236 |       svchost.exe       |  Unknown   |   0    |
|2324 |       svchost.exe       |  Unknown   |   0    |
|2340 |   IntelCpHDCPSvc.exe    |  Unknown   |   0    |
|2348 |       svchost.exe       |  Unknown   |   0    |
|2380 |       svchost.exe       |  Unknown   |   0    |
|2412 |       svchost.exe       |  Unknown   |   0    |
|2516 |       svchost.exe       |  Unknown   |   0    |
|3052 |       svchost.exe       |  Unknown   |   0    |
|2616 |       svchost.exe       |  Unknown   |   0    |
|2588 |       svchost.exe       |  Unknown   |   0    |
|2608 |       svchost.exe       |  Unknown   |   0    |
|2476 |       svchost.exe       |  Unknown   |   0    |
|3048 |       svchost.exe       |  Unknown   |   0    |
|3236 |   Memory Compression    |  Unknown   |   0    |
|3316 |       svchost.exe       |  Unknown   |   0    |
|3372 |       svchost.exe       |  Unknown   |   0    |
|3380 |       svchost.exe       |  Unknown   |   0    |
|3552 |       svchost.exe       |  Unknown   |   0    |
|3596 |       svchost.exe       |  Unknown   |   0    |
|3632 |       svchost.exe       |  Unknown   |   0    |
|3728 |       svchost.exe       |  Unknown   |   0    |
|3740 |       svchost.exe       |  Unknown   |   0    |
|3820 |       svchost.exe       |  Unknown   |   0    |
|3864 |       svchost.exe       |  Unknown   |   0    |
|3972 |       spoolsv.exe       |  Unknown   |   0    |
|4028 |       svchost.exe       |  Unknown   |   0    |
|4080 |       svchost.exe       |  Unknown   |   0    |
|3840 |       svchost.exe       |  Unknown   |   0    |
|4288 |       DAX3API.exe       |  Unknown   |   0    |
|4296 |       svchost.exe       |  Unknown   |   0    |
|4280 |       svchost.exe       |  Unknown   |   0    |
|4304 |    Dell.TechHub.exe     |  Unknown   |   0    |
|4312 |       svchost.exe       |  Unknown   |   0    |
|4328 |       ipfsvc.exe        |  Unknown   |   0    |
|4336 |       svchost.exe       |  Unknown   |   0    |
|4344 | IgoAudioService_x64.exe |  Unknown   |   0    |
|4352 |       svchost.exe       |  Unknown   |   0    |
|4360 |OneApp.IGCC.WinService...|  Unknown   |   0    |
|4368 |  IntelAudioService.exe  |  Unknown   |   0    |
|4376 |     jhi_service.exe     |  Unknown   |   0    |
|4396 |       ipf_uf.exe        |  Unknown   |   0    |
|4416 |       svchost.exe       |  Unknown   |   0    |
|4456 |  OfficeClickToRun.exe   |  Unknown   |   0    |
|4572 |    RstMwService.exe     |  Unknown   |   0    |
|4612 |  RtkAudUService64.exe   |  Unknown   |   0    |
|4620 |       svchost.exe       |  Unknown   |   0    |
|4628 |       svchost.exe       |  Unknown   |   0    |
|4656 |       svchost.exe       |  Unknown   |   0    |
|4680 |       svchost.exe       |  Unknown   |   0    |
|4700 |WMIRegistrationService...|  Unknown   |   0    |
|5404 |       svchost.exe       |  Unknown   |   0    |
|5544 |       svchost.exe       |  Unknown   |   0    |
|5884 |     iGoSwServer.exe     |  Unknown   |   0    |
|6472 |      WmiPrvSE.exe       |  Unknown   |   0    |
|6480 |      WmiPrvSE.exe       |  Unknown   |   0    |
|6664 |      WmiPrvSE.exe       |  Unknown   |   0    |
|7808 |       svchost.exe       |  Unknown   |   0    |
|7912 |   AggregatorHost.exe    |  Unknown   |   0    |
|8244 |       wlanext.exe       |  Unknown   |   0    |
|8308 |       svchost.exe       |  Unknown   |   0    |
|8832 |       svchost.exe       |  Unknown   |   0    |
|8864 |       svchost.exe       |  Unknown   |   0    |
|8600 |       svchost.exe       |  Unknown   |   0    |
|8380 |       NgcIso.exe        |  Unknown   |   0    |
|8704 |       svchost.exe       |  Unknown   |   0    |
|4152 |AWPerformance.SCSubAge...|  Unknown   |   0    |
|7848 |   AWCC.SCSubAgent.exe   |  Unknown   |   0    |
|3388 |AWGameLibrary.SCSubAge...|  Unknown   |   0    |
|8320 |     XtuService.exe      |  Unknown   |   0    |
|10744|       svchost.exe       |  Unknown   |   0    |
|10968|       svchost.exe       |  Unknown   |   0    |
|11728|       svchost.exe       |  Unknown   |   0    |
|12032|    SearchIndexer.exe    |  Unknown   |   0    |
|13760|       svchost.exe       |  Unknown   |   0    |
|15912|SecurityHealthService.exe|  Unknown   |   0    |
|16112|       svchost.exe       |  Unknown   |   0    |
|16292|       svchost.exe       |  Unknown   |   0    |
|16332|       svchost.exe       |  Unknown   |   0    |
|5968 |       svchost.exe       |  Unknown   |   0    |
|16588|       svchost.exe       |  Unknown   |   0    |
|10948|Dell.CoreServices.Clie...|  Unknown   |   0    |
|12284|Dell.Update.SubAgent.exe |  Unknown   |   0    |
|6316 |       conhost.exe       |  Unknown   |   0    |
|11448|Dell.TechHub.Analytics...|  Unknown   |   0    |
|12196|Dell.TechHub.Instrumen...|  Unknown   |   0    |
|19792|       conhost.exe       |  Unknown   |   0    |
|19460|Dell.TechHub.DataManag...|  Unknown   |   0    |
|17992|       conhost.exe       |  Unknown   |   0    |
|20252|       conhost.exe       |  Unknown   |   0    |
|12472|Dell.TechHub.Diagnosti...|  Unknown   |   0    |
|15984|       conhost.exe       |  Unknown   |   0    |
|18160|       svchost.exe       |  Unknown   |   0    |
|14788|       svchost.exe       |  Unknown   |   0    |
|20536|       svchost.exe       |  Unknown   |   0    |
|21452|  DDVRulesProcessor.exe  |  Unknown   |   0    |
|15760|   Dell.D3.WinSvc.exe    |  Unknown   |   0    |
|14708|DellSupportAssistRemed...|  Unknown   |   0    |
|20920|    ServiceShell.exe     |  Unknown   |   0    |
|20704|       svchost.exe       |  Unknown   |   0    |
|21084|    FusionService.exe    |  Unknown   |   0    |
|4248 | SupportAssistAgent.exe  |  Unknown   |   0    |
|22212|  DDVDataCollector.exe   |  Unknown   |   0    |
|22420| DDVCollectorSvcApi.exe  |  Unknown   |   0    |
|22264|       svchost.exe       |  Unknown   |   0    |
|22280|       svchost.exe       |  Unknown   |   0    |
|21176|       svchost.exe       |  Unknown   |   0    |
|22644|       svchost.exe       |  Unknown   |   0    |
|14584|       svchost.exe       |  Unknown   |   0    |
|25056|      warp-svc.exe       |  Unknown   |   0    |
|25876|   gamingservices.exe    |  Unknown   |   0    |
|10324|  gamingservicesnet.exe  |  Unknown   |   0    |
|10276|       svchost.exe       |  Unknown   |   0    |
|16472|       svchost.exe       |  Unknown   |   0    |
|25176|       svchost.exe       |  Unknown   |   0    |
|2480 |     nvcontainer.exe     |  Unknown   |   0    |
|1284 |       svchost.exe       |  Unknown   |   0    |
|23036|     servicehost.exe     |  Unknown   |   0    |
|26664| NVDisplay.Container.exe |  Unknown   |   0    |
|27340|     mc-fw-host.exe      |  Unknown   |   0    |
|28564|       svchost.exe       |  Unknown   |   0    |
|22108|        csrss.exe        |  Unknown   |   0    |
|11108|      winlogon.exe       |  Unknown   |   0    |
|7504 |     fontdrvhost.exe     |  Unknown   |   0    |
|21624|         dwm.exe         |  Unknown   |   0    |
|3036 | NVDisplay.Container.exe |  Unknown   |   0    |
|10952|     nvcontainer.exe     |  Unknown   |   0    |
|20572|       svchost.exe       |  Unknown   |   0    |
|29264|       svchost.exe       |  Unknown   |   0    |
|2028 |     ipf_helper.exe      |  Running   |   3    |
|27160|       uihost.exe        |  Running   |   3    |
|9512 |     nvcontainer.exe     |  Running   |   3    |
|3808 |     nvcontainer.exe     |  Running   |   3    |
|3488 |     mc-fw-host.exe      |  Unknown   |   0    |
|6000 |       sihost.exe        |  Running   |   3    |
|17672|       svchost.exe       |  Running   |   3    |
|22864|       svchost.exe       |  Running   |   3    |
|29156|       svchost.exe       |  Running   |   3    |
|22640|      taskhostw.exe      |  Running   |   3    |
|19928|     iGoSwServer.exe     |  Running   |   2    |
|21828|      explorer.exe       |  Running   |   3    |
|28432|       svchost.exe       |  Running   |   3    |
|7172 |     SearchHost.exe      |  Running   |   3    |
|12672|StartMenuExperienceHos...|  Running   |   3    |
|18072|       Widgets.exe       |  Running   |   3    |
|13768|    nvsphelper64.exe     |  Unknown   |   0    |
|14264|   NVIDIA Overlay.exe    |  Running   |   3    |
|13520|    RuntimeBroker.exe    |  Running   |   3    |
|15812|       svchost.exe       |  Running   |   3    |
|25236|    RuntimeBroker.exe    |  Running   |   3    |
|26416|       dllhost.exe       |  Running   |   3    |
|18996|   NVIDIA Overlay.exe    |  Running   |   4    |
|26308|   NVIDIA Overlay.exe    |  Running   |   3    |
|18860|   NVIDIA Overlay.exe    |  Running   |   3    |
|18392|   NVIDIA Overlay.exe    |  Running   |   3    |
|15860|       ctfmon.exe        |  Unknown   |   0    |
|23876|  RtkAudUService64.exe   |  Unknown   |   0    |
|28500|SecurityHealthSystray.exe|  Running   |   3    |
|3968 |  RtkAudUService64.exe   |  Running   |   3    |
|13104|Dell.TechHub.Instrumen...|  Unknown   |   0    |
|14844|    TextInputHost.exe    |  Running   |   5    |
